tipo_base,anio,trimestre,periodo,variable,tipo_variable,presente
individual,2019,2,2019_t2,itf,deseable,TRUE
individual,2019,2,2019_t2,region,deseable,TRUE
individual,2019,2,2019_t2,trimestre,deseable,TRUE
hogar,2019,3,2019_t3,aglomerado,obligatoria,TRUE
hogar,2019,3,2019_t3,codusu,obligatoria,TRUE
hogar,2019,3,2019_t3,deccfr,obligatoria,TRUE
hogar,2019,3,2019_t3,decifr,obligatoria,TRUE
hogar,2019,3,2019_t3,itf,obligatoria,TRUE
hogar,2019,3,2019_t3,ix_tot,obligatoria,TRUE
hogar,2019,3,2019_t3,nro_hogar,obligatoria,TRUE
hogar,2019,3,2019_t3,pondera,obligatoria,TRUE
hogar,2019,3,2019_t3,ano4,deseable,TRUE
hogar,2019,3,2019_t3,ipcf,deseable,TRUE
hogar,2019,3,2019_t3,ix_mayeq10,deseable,TRUE
hogar,2019,3,2019_t3,ix_men10,deseable,TRUE
hogar,2019,3,2019_t3,pondih,deseable,TRUE
hogar,2019,3,2019_t3,realizada,deseable,TRUE
hogar,2019,3,2019_t3,region,deseable,TRUE
hogar,2019,3,2019_t3,trimestre,deseable,TRUE
individual,2019,3,2019_t3,aglomerado,obligatoria,TRUE
individual,2019,3,2019_t3,ch03,obligatoria,TRUE
individual,2019,3,2019_t3,ch04,obligatoria,TRUE
individual,2019,3,2019_t3,ch06,obligatoria,TRUE
individual,2019,3,2019_t3,codusu,obligatoria,TRUE
individual,2019,3,2019_t3,componente,obligatoria,TRUE
individual,2019,3,2019_t3,estado,obligatoria,TRUE
individual,2019,3,2019_t3,nro_hogar,obligatoria,TRUE
individual,2019,3,2019_t3,pondera,obligatoria,TRUE
individual,2019,3,2019_t3,ano4,deseable,TRUE
individual,2019,3,2019_t3,cat_ocup,deseable,TRUE
individual,2019,3,2019_t3,deccfr,deseable,TRUE
individual,2019,3,2019_t3,decifr,deseable,TRUE
individual,2019,3,2019_t3,ipcf,deseable,TRUE
individual,2019,3,2019_t3,itf,deseable,TRUE
individual,2019,3,2019_t3,region,deseable,TRUE
individual,2019,3,2019_t3,trimestre,deseable,TRUE
hogar,2019,4,2019_t4,aglomerado,obligatoria,TRUE
hogar,2019,4,2019_t4,codusu,obligatoria,TRUE
hogar,2019,4,2019_t4,deccfr,obligatoria,TRUE
hogar,2019,4,2019_t4,decifr,obligatoria,TRUE
hogar,2019,4,2019_t4,itf,obligatoria,TRUE
hogar,2019,4,2019_t4,ix_tot,obligatoria,TRUE
hogar,2019,4,2019_t4,nro_hogar,obligatoria,TRUE
hogar,2019,4,2019_t4,pondera,obligatoria,TRUE
hogar,2019,4,2019_t4,ano4,deseable,TRUE
hogar,2019,4,2019_t4,ipcf,deseable,TRUE
hogar,2019,4,2019_t4,ix_mayeq10,deseable,TRUE
hogar,2019,4,2019_t4,ix_men10,deseable,TRUE
hogar,2019,4,2019_t4,pondih,deseable,TRUE
hogar,2019,4,2019_t4,realizada,deseable,TRUE
hogar,2019,4,2019_t4,region,deseable,TRUE
hogar,2019,4,2019_t4,trimestre,deseable,TRUE
individual,2019,4,2019_t4,aglomerado,obligatoria,TRUE
individual,2019,4,2019_t4,ch03,obligatoria,TRUE
individual,2019,4,2019_t4,ch04,obligatoria,TRUE
individual,2019,4,2019_t4,ch06,obligatoria,TRUE
individual,2019,4,2019_t4,codusu,obligatoria,TRUE
individual,2019,4,2019_t4,componente,obligatoria,TRUE
individual,2019,4,2019_t4,estado,obligatoria,TRUE
individual,2019,4,2019_t4,nro_hogar,obligatoria,TRUE
individual,2019,4,2019_t4,pondera,obligatoria,TRUE
individual,2019,4,2019_t4,ano4,deseable,TRUE
individual,2019,4,2019_t4,cat_ocup,deseable,TRUE
individual,2019,4,2019_t4,deccfr,deseable,TRUE
individual,2019,4,2019_t4,decifr,deseable,TRUE
individual,2019,4,2019_t4,ipcf,deseable,TRUE
individual,2019,4,2019_t4,itf,deseable,TRUE
individual,2019,4,2019_t4,region,deseable,TRUE
individual,2019,4,2019_t4,trimestre,deseable,TRUE
hogar,2021,1,2021_t1,aglomerado,obligatoria,TRUE
hogar,2021,1,2021_t1,codusu,obligatoria,TRUE
hogar,2021,1,2021_t1,deccfr,obligatoria,TRUE
hogar,2021,1,2021_t1,decifr,obligatoria,TRUE
hogar,2021,1,2021_t1,itf,obligatoria,TRUE
hogar,2021,1,2021_t1,ix_tot,obligatoria,TRUE
hogar,2021,1,2021_t1,nro_hogar,obligatoria,TRUE
hogar,2021,1,2021_t1,pondera,obligatoria,TRUE
hogar,2021,1,2021_t1,ano4,deseable,TRUE
hogar,2021,1,2021_t1,ipcf,deseable,TRUE
hogar,2021,1,2021_t1,ix_mayeq10,deseable,TRUE
hogar,2021,1,2021_t1,ix_men10,deseable,TRUE
hogar,2021,1,2021_t1,pondih,deseable,TRUE
hogar,2021,1,2021_t1,realizada,deseable,TRUE
hogar,2021,1,2021_t1,region,deseable,TRUE
hogar,2021,1,2021_t1,trimestre,deseable,TRUE
individual,2021,1,2021_t1,aglomerado,obligatoria,TRUE
individual,2021,1,2021_t1,ch03,obligatoria,TRUE
individual,2021,1,2021_t1,ch04,obligatoria,TRUE
individual,2021,1,2021_t1,ch06,obligatoria,TRUE
individual,2021,1,2021_t1,codusu,obligatoria,TRUE
individual,2021,1,2021_t1,componente,obligatoria,TRUE
individual,2021,1,2021_t1,estado,obligatoria,TRUE
individual,2021,1,2021_t1,nro_hogar,obligatoria,TRUE
individual,2021,1,2021_t1,pondera,obligatoria,TRUE
individual,2021,1,2021_t1,ano4,deseable,TRUE
individual,2021,1,2021_t1,cat_ocup,deseable,TRUE
individual,2021,1,2021_t1,deccfr,deseable,TRUE
individual,2021,1,2021_t1,decifr,deseable,TRUE
individual,2021,1,2021_t1,ipcf,deseable,TRUE
individual,2021,1,2021_t1,itf,deseable,TRUE
individual,2021,1,2021_t1,region,deseable,TRUE
individual,2021,1,2021_t1,trimestre,deseable,TRUE
hogar,2021,2,2021_t2,aglomerado,obligatoria,TRUE
hogar,2021,2,2021_t2,codusu,obligatoria,TRUE
hogar,2021,2,2021_t2,deccfr,obligatoria,TRUE
hogar,2021,2,2021_t2,decifr,obligatoria,TRUE
hogar,2021,2,2021_t2,itf,obligatoria,TRUE
hogar,2021,2,2021_t2,ix_tot,obligatoria,TRUE
hogar,2021,2,2021_t2,nro_hogar,obligatoria,TRUE
hogar,2021,2,2021_t2,pondera,obligatoria,TRUE
hogar,2021,2,2021_t2,ano4,deseable,TRUE
hogar,2021,2,2021_t2,ipcf,deseable,TRUE
hogar,2021,2,2021_t2,ix_mayeq10,deseable,TRUE
hogar,2021,2,2021_t2,ix_men10,deseable,TRUE
hogar,2021,2,2021_t2,pondih,deseable,TRUE
hogar,2021,2,2021_t2,realizada,deseable,TRUE
hogar,2021,2,2021_t2,region,deseable,TRUE
hogar,2021,2,2021_t2,trimestre,deseable,TRUE
individual,2021,2,2021_t2,aglomerado,obligatoria,TRUE
individual,2021,2,2021_t2,ch03,obligatoria,TRUE
individual,2021,2,2021_t2,ch04,obligatoria,TRUE
individual,2021,2,2021_t2,ch06,obligatoria,TRUE
individual,2021,2,2021_t2,codusu,obligatoria,TRUE
individual,2021,2,2021_t2,componente,obligatoria,TRUE
individual,2021,2,2021_t2,estado,obligatoria,TRUE
individual,2021,2,2021_t2,nro_hogar,obligatoria,TRUE
individual,2021,2,2021_t2,pondera,obligatoria,TRUE
individual,2021,2,2021_t2,ano4,deseable,TRUE
individual,2021,2,2021_t2,cat_ocup,deseable,TRUE
individual,2021,2,2021_t2,deccfr,deseable,TRUE
individual,2021,2,2021_t2,decifr,deseable,TRUE
individual,2021,2,2021_t2,ipcf,deseable,TRUE
individual,2021,2,2021_t2,itf,deseable,TRUE
individual,2021,2,2021_t2,region,deseable,TRUE
individual,2021,2,2021_t2,trimestre,deseable,TRUE
hogar,2021,3,2021_t3,aglomerado,obligatoria,TRUE
hogar,2021,3,2021_t3,codusu,obligatoria,TRUE
hogar,2021,3,2021_t3,deccfr,obligatoria,TRUE
hogar,2021,3,2021_t3,decifr,obligatoria,TRUE
hogar,2021,3,2021_t3,itf,obligatoria,TRUE
hogar,2021,3,2021_t3,ix_tot,obligatoria,TRUE
hogar,2021,3,2021_t3,nro_hogar,obligatoria,TRUE
hogar,2021,3,2021_t3,pondera,obligatoria,TRUE
hogar,2021,3,2021_t3,ano4,deseable,TRUE
hogar,2021,3,2021_t3,ipcf,deseable,TRUE
hogar,2021,3,2021_t3,ix_mayeq10,deseable,TRUE
hogar,2021,3,2021_t3,ix_men10,deseable,TRUE
hogar,2021,3,2021_t3,pondih,deseable,TRUE
hogar,2021,3,2021_t3,realizada,deseable,TRUE
hogar,2021,3,2021_t3,region,deseable,TRUE
hogar,2021,3,2021_t3,trimestre,deseable,TRUE
individual,2021,3,2021_t3,aglomerado,obligatoria,TRUE
individual,2021,3,2021_t3,ch03,obligatoria,TRUE
individual,2021,3,2021_t3,ch04,obligatoria,TRUE
individual,2021,3,2021_t3,ch06,obligatoria,TRUE
individual,2021,3,2021_t3,codusu,obligatoria,TRUE
individual,2021,3,2021_t3,componente,obligatoria,TRUE
individual,2021,3,2021_t3,estado,obligatoria,TRUE
individual,2021,3,2021_t3,nro_hogar,obligatoria,TRUE
individual,2021,3,2021_t3,pondera,obligatoria,TRUE
individual,2021,3,2021_t3,ano4,deseable,TRUE
individual,2021,3,2021_t3,cat_ocup,deseable,TRUE
individual,2021,3,2021_t3,deccfr,deseable,TRUE
individual,2021,3,2021_t3,decifr,deseable,TRUE
individual,2021,3,2021_t3,ipcf,deseable,TRUE
individual,2021,3,2021_t3,itf,deseable,TRUE
individual,2021,3,2021_t3,region,deseable,TRUE
individual,2021,3,2021_t3,trimestre,deseable,TRUE
hogar,2021,4,2021_t4,aglomerado,obligatoria,TRUE
hogar,2021,4,2021_t4,codusu,obligatoria,TRUE
hogar,2021,4,2021_t4,deccfr,obligatoria,TRUE
hogar,2021,4,2021_t4,decifr,obligatoria,TRUE
hogar,2021,4,2021_t4,itf,obligatoria,TRUE
hogar,2021,4,2021_t4,ix_tot,obligatoria,TRUE
hogar,2021,4,2021_t4,nro_hogar,obligatoria,TRUE
hogar,2021,4,2021_t4,pondera,obligatoria,TRUE
hogar,2021,4,2021_t4,ano4,deseable,TRUE
hogar,2021,4,2021_t4,ipcf,deseable,TRUE
hogar,2021,4,2021_t4,ix_mayeq10,deseable,TRUE
hogar,2021,4,2021_t4,ix_men10,deseable,TRUE
hogar,2021,4,2021_t4,pondih,deseable,TRUE
hogar,2021,4,2021_t4,realizada,deseable,TRUE
hogar,2021,4,2021_t4,region,deseable,TRUE
hogar,2021,4,2021_t4,trimestre,deseable,TRUE
individual,2021,4,2021_t4,aglomerado,obligatoria,TRUE
individual,2021,4,2021_t4,ch03,obligatoria,TRUE
individual,2021,4,2021_t4,ch04,obligatoria,TRUE
individual,2021,4,2021_t4,ch06,obligatoria,TRUE
individual,2021,4,2021_t4,codusu,obligatoria,TRUE
individual,2021,4,2021_t4,componente,obligatoria,TRUE
individual,2021,4,2021_t4,estado,obligatoria,TRUE
individual,2021,4,2021_t4,nro_hogar,obligatoria,TRUE
individual,2021,4,2021_t4,pondera,obligatoria,TRUE
individual,2021,4,2021_t4,ano4,deseable,TRUE
individual,2021,4,2021_t4,cat_ocup,deseable,TRUE
individual,2021,4,2021_t4,deccfr,deseable,TRUE
individual,2021,4,2021_t4,decifr,deseable,TRUE
individual,2021,4,2021_t4,ipcf,deseable,TRUE
individual,2021,4,2021_t4,itf,deseable,TRUE
individual,2021,4,2021_t4,region,deseable,TRUE
individual,2021,4,2021_t4,trimestre,deseable,TRUE
hogar,2022,1,2022_t1,aglomerado,obligatoria,TRUE
hogar,2022,1,2022_t1,codusu,obligatoria,TRUE
hogar,2022,1,2022_t1,deccfr,obligatoria,TRUE
hogar,2022,1,2022_t1,decifr,obligatoria,TRUE
hogar,2022,1,2022_t1,itf,obligatoria,TRUE
hogar,2022,1,2022_t1,ix_tot,obligatoria,TRUE
hogar,2022,1,2022_t1,nro_hogar,obligatoria,TRUE
hogar,2022,1,2022_t1,pondera,obligatoria,TRUE
hogar,2022,1,2022_t1,ano4,deseable,TRUE
hogar,2022,1,2022_t1,ipcf,deseable,TRUE
hogar,2022,1,2022_t1,ix_mayeq10,deseable,TRUE
hogar,2022,1,2022_t1,ix_men10,deseable,TRUE
hogar,2022,1,2022_t1,pondih,deseable,TRUE
hogar,2022,1,2022_t1,realizada,deseable,TRUE
hogar,2022,1,2022_t1,region,deseable,TRUE
hogar,2022,1,2022_t1,trimestre,deseable,TRUE
individual,2022,1,2022_t1,aglomerado,obligatoria,TRUE
individual,2022,1,2022_t1,ch03,obligatoria,TRUE
individual,2022,1,2022_t1,ch04,obligatoria,TRUE
individual,2022,1,2022_t1,ch06,obligatoria,TRUE
individual,2022,1,2022_t1,codusu,obligatoria,TRUE
individual,2022,1,2022_t1,componente,obligatoria,TRUE
individual,2022,1,2022_t1,estado,obligatoria,TRUE
individual,2022,1,2022_t1,nro_hogar,obligatoria,TRUE
individual,2022,1,2022_t1,pondera,obligatoria,TRUE
individual,2022,1,2022_t1,ano4,deseable,TRUE
individual,2022,1,2022_t1,cat_ocup,deseable,TRUE
individual,2022,1,2022_t1,deccfr,deseable,TRUE
individual,2022,1,2022_t1,decifr,deseable,TRUE
individual,2022,1,2022_t1,ipcf,deseable,TRUE
individual,2022,1,2022_t1,itf,deseable,TRUE
individual,2022,1,2022_t1,region,deseable,TRUE
individual,2022,1,2022_t1,trimestre,deseable,TRUE
hogar,2022,2,2022_t2,aglomerado,obligatoria,TRUE
hogar,2022,2,2022_t2,codusu,obligatoria,TRUE
hogar,2022,2,2022_t2,deccfr,obligatoria,TRUE
hogar,2022,2,2022_t2,decifr,obligatoria,TRUE
hogar,2022,2,2022_t2,itf,obligatoria,TRUE
hogar,2022,2,2022_t2,ix_tot,obligatoria,TRUE
hogar,2022,2,2022_t2,nro_hogar,obligatoria,TRUE
hogar,2022,2,2022_t2,pondera,obligatoria,TRUE
hogar,2022,2,2022_t2,ano4,deseable,TRUE
hogar,2022,2,2022_t2,ipcf,deseable,TRUE
hogar,2022,2,2022_t2,ix_mayeq10,deseable,TRUE
hogar,2022,2,2022_t2,ix_men10,deseable,TRUE
hogar,2022,2,2022_t2,pondih,deseable,TRUE
hogar,2022,2,2022_t2,realizada,deseable,TRUE
hogar,2022,2,2022_t2,region,deseable,TRUE
hogar,2022,2,2022_t2,trimestre,deseable,TRUE
individual,2022,2,2022_t2,aglomerado,obligatoria,TRUE
individual,2022,2,2022_t2,ch03,obligatoria,TRUE
individual,2022,2,2022_t2,ch04,obligatoria,TRUE
individual,2022,2,2022_t2,ch06,obligatoria,TRUE
individual,2022,2,2022_t2,codusu,obligatoria,TRUE
individual,2022,2,2022_t2,componente,obligatoria,TRUE
individual,2022,2,2022_t2,estado,obligatoria,TRUE
individual,2022,2,2022_t2,nro_hogar,obligatoria,TRUE
individual,2022,2,2022_t2,pondera,obligatoria,TRUE
individual,2022,2,2022_t2,ano4,deseable,TRUE
individual,2022,2,2022_t2,cat_ocup,deseable,TRUE
individual,2022,2,2022_t2,deccfr,deseable,TRUE
individual,2022,2,2022_t2,decifr,deseable,TRUE
individual,2022,2,2022_t2,ipcf,deseable,TRUE
individual,2022,2,2022_t2,itf,deseable,TRUE
individual,2022,2,2022_t2,region,deseable,TRUE
individual,2022,2,2022_t2,trimestre,deseable,TRUE
hogar,2022,3,2022_t3,aglomerado,obligatoria,TRUE
hogar,2022,3,2022_t3,codusu,obligatoria,TRUE
hogar,2022,3,2022_t3,deccfr,obligatoria,TRUE
hogar,2022,3,2022_t3,decifr,obligatoria,TRUE
hogar,2022,3,2022_t3,itf,obligatoria,TRUE
hogar,2022,3,2022_t3,ix_tot,obligatoria,TRUE
hogar,2022,3,2022_t3,nro_hogar,obligatoria,TRUE
hogar,2022,3,2022_t3,pondera,obligatoria,TRUE
hogar,2022,3,2022_t3,ano4,deseable,TRUE
hogar,2022,3,2022_t3,ipcf,deseable,TRUE
hogar,2022,3,2022_t3,ix_mayeq10,deseable,TRUE
hogar,2022,3,2022_t3,ix_men10,deseable,TRUE
hogar,2022,3,2022_t3,pondih,deseable,TRUE
hogar,2022,3,2022_t3,realizada,deseable,TRUE
hogar,2022,3,2022_t3,region,deseable,TRUE
hogar,2022,3,2022_t3,trimestre,deseable,TRUE
individual,2022,3,2022_t3,aglomerado,obligatoria,TRUE
individual,2022,3,2022_t3,ch03,obligatoria,TRUE
individual,2022,3,2022_t3,ch04,obligatoria,TRUE
individual,2022,3,2022_t3,ch06,obligatoria,TRUE
individual,2022,3,2022_t3,codusu,obligatoria,TRUE
individual,2022,3,2022_t3,componente,obligatoria,TRUE
individual,2022,3,2022_t3,estado,obligatoria,TRUE
individual,2022,3,2022_t3,nro_hogar,obligatoria,TRUE
individual,2022,3,2022_t3,pondera,obligatoria,TRUE
individual,2022,3,2022_t3,ano4,deseable,TRUE
individual,2022,3,2022_t3,cat_ocup,deseable,TRUE
individual,2022,3,2022_t3,deccfr,deseable,TRUE
individual,2022,3,2022_t3,decifr,deseable,TRUE
individual,2022,3,2022_t3,ipcf,deseable,TRUE
individual,2022,3,2022_t3,itf,deseable,TRUE
individual,2022,3,2022_t3,region,deseable,TRUE
individual,2022,3,2022_t3,trimestre,deseable,TRUE
hogar,2022,4,2022_t4,aglomerado,obligatoria,TRUE
hogar,2022,4,2022_t4,codusu,obligatoria,TRUE
hogar,2022,4,2022_t4,deccfr,obligatoria,TRUE
hogar,2022,4,2022_t4,decifr,obligatoria,TRUE
hogar,2022,4,2022_t4,itf,obligatoria,TRUE
hogar,2022,4,2022_t4,ix_tot,obligatoria,TRUE
hogar,2022,4,2022_t4,nro_hogar,obligatoria,TRUE
hogar,2022,4,2022_t4,pondera,obligatoria,TRUE
hogar,2022,4,2022_t4,ano4,deseable,TRUE
hogar,2022,4,2022_t4,ipcf,deseable,TRUE
hogar,2022,4,2022_t4,ix_mayeq10,deseable,TRUE
hogar,2022,4,2022_t4,ix_men10,deseable,TRUE
hogar,2022,4,2022_t4,pondih,deseable,TRUE
hogar,2022,4,2022_t4,realizada,deseable,TRUE
hogar,2022,4,2022_t4,region,deseable,TRUE
hogar,2022,4,2022_t4,trimestre,deseable,TRUE
individual,2022,4,2022_t4,aglomerado,obligatoria,TRUE
individual,2022,4,2022_t4,ch03,obligatoria,TRUE
individual,2022,4,2022_t4,ch04,obligatoria,TRUE
individual,2022,4,2022_t4,ch06,obligatoria,TRUE
individual,2022,4,2022_t4,codusu,obligatoria,TRUE
individual,2022,4,2022_t4,componente,obligatoria,TRUE
individual,2022,4,2022_t4,estado,obligatoria,TRUE
individual,2022,4,2022_t4,nro_hogar,obligatoria,TRUE
individual,2022,4,2022_t4,pondera,obligatoria,TRUE
individual,2022,4,2022_t4,ano4,deseable,TRUE
individual,2022,4,2022_t4,cat_ocup,deseable,TRUE
individual,2022,4,2022_t4,deccfr,deseable,TRUE
individual,2022,4,2022_t4,decifr,deseable,TRUE
individual,2022,4,2022_t4,ipcf,deseable,TRUE
individual,2022,4,2022_t4,itf,deseable,TRUE
individual,2022,4,2022_t4,region,deseable,TRUE
individual,2022,4,2022_t4,trimestre,deseable,TRUE
